epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,9141.63,2.07181,1.17476,0.91384,0.63858,0.44778,0.50064,0.20797,2.00277,1.0956,0.89334,0.003928,0.003928,0.003928
94,9239.4,2.07832,1.17772,0.91309,0.64231,0.44706,0.50044,0.20746,2.00173,1.09138,0.8938,0.003862,0.003862,0.003862
95,9337.07,2.07685,1.17305,0.91287,0.6385,0.44824,0.50087,0.20809,1.99762,1.09436,0.89345,0.003796,0.003796,0.003796
96,9434.11,2.08196,1.17561,0.91397,0.63567,0.45236,0.50213,0.20866,1.99811,1.08785,0.89328,0.00373,0.00373,0.00373
97,9532.31,2.0647,1.16539,0.91191,0.63651,0.4515,0.50275,0.20988,1.99931,1.08762,0.89373,0.003664,0.003664,0.003664
98,9631.41,2.06365,1.15431,0.91239,0.6399,0.44985,0.50272,0.20859,2.0048,1.08663,0.89463,0.003598,0.003598,0.003598
99,9729.44,2.07157,1.16336,0.91406,0.64375,0.45071,0.50467,0.20915,2.00155,1.0841,0.89418,0.003532,0.003532,0.003532
100,9827.88,2.05512,1.15705,0.91252,0.64647,0.44871,0.50365,0.20937,2.00083,1.08465,0.89404,0.003466,0.003466,0.003466
101,9927.31,2.07892,1.17867,0.91124,0.65425,0.44581,0.50472,0.20989,1.99875,1.08596,0.89311,0.0034,0.0034,0.0034
102,10025.4,2.05098,1.15493,0.91526,0.64079,0.45219,0.5037,0.20979,1.99611,1.08332,0.89216,0.003334,0.003334,0.003334
103,10123.1,2.05577,1.16043,0.90754,0.64372,0.4515,0.50546,0.20994,1.99461,1.08328,0.89216,0.003268,0.003268,0.003268
104,10222.1,2.04575,1.1472,0.91416,0.63825,0.45255,0.50487,0.21028,1.99204,1.08221,0.89208,0.003202,0.003202,0.003202
105,10319.6,2.07243,1.16599,0.90555,0.64526,0.45128,0.50551,0.21089,1.99166,1.08075,0.89201,0.003136,0.003136,0.003136
106,10417.4,2.05699,1.15752,0.90713,0.64567,0.45222,0.50624,0.21113,1.98862,1.08051,0.89144,0.00307,0.00307,0.00307
107,10513.1,2.05112,1.15557,0.91058,0.63887,0.45594,0.50704,0.2112,1.98651,1.08138,0.89122,0.003004,0.003004,0.003004
108,10611.4,2.04302,1.14003,0.91171,0.64063,0.45458,0.50771,0.21118,1.9869,1.08026,0.89055,0.002938,0.002938,0.002938
109,10709.8,2.02619,1.13307,0.90972,0.6474,0.45021,0.50738,0.21131,1.98574,1.08159,0.89048,0.002872,0.002872,0.002872
110,10808,2.04011,1.13962,0.90928,0.64507,0.45212,0.50798,0.21161,1.98582,1.08088,0.89086,0.002806,0.002806,0.002806
111,10905.2,2.03832,1.14928,0.90991,0.64623,0.45372,0.50934,0.21255,1.98621,1.07832,0.89134,0.00274,0.00274,0.00274
